========FIRST LAYER WEIGHTS========
=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
   Y5|    0|    2|    2|   -2|   -2|   -2|   -2|    0|    2|    2|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    0|    2|    2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    2|    0|   -2|   -2|   -2|    0|    2|    0|    2|    2|    0|    0|   -2|   -2|   -2|    0|    2|    2|    2|    0|    0|    0|   -2|   -2|   -2|    0|    0|    0|    0|   -2|   -2|   -2|   -2|   -2|   -2|    0|    0|   -2|    0|    0|   -2|   -2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    2|    0|   -2|   -2|   -2|    0|    2|    0|    0|    0|    2|    2|   -2|   -2|   -2|    0|    2|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   Y6|    0|   -2|   -2|    2|    2|    2|    2|    0|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|    0|   -2|   -2|    2|    2|    2|    0|   -2|    0|    0|   -2|   -2|    0|    2|    2|    2|    0|   -2|    0|   -2|   -2|    0|    0|    2|    2|    2|    0|   -2|   -2|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|    0|    2|    2|    2|    2|    2|    2|    0|    0|    2|    0|    0|    2|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|   -2|    0|    2|    2|    2|    0|   -2|    0|    0|    0|   -2|   -2|    2|    2|    2|    0|   -2|    0|    0|    0|    0|   -2|    0|    2|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   Y7|    2|    0|    0|    0|    0|    0|    0|    2|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|   -2|   -2|    2|    2|    2|    2|   -2|   -2|    2|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    0|    0|    0|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|   -2|   -2|   -2|   -2|    0|    0|    0|    0|    0|    0|   -2|   -2|    0|   -2|   -2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   Y8|   -2|    0|    0|    0|    0|    0|    0|   -2|    0|    0|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|   -2|    2|    2|   -2|   -2|   -2|   -2|    2|    2|   -2|    0|    2|    0|   -2|   -2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    0|   -2|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|    0|    0|    0|    2|    0|    0|    0|   -2|   -2|   -2|    0|    0|    0|    2|    2|    2|    2|    0|    0|    0|    0|    0|    0|    2|    2|    0|    2|    2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    0|   -2|    0|    0|    0|    2|    0|   -2|   -2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   Y9|    2|    0|    0|    0|    0|    0|    0|    2|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|   -2|   -2|    2|    2|    2|    2|   -2|   -2|    2|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    0|    0|    0|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|   -2|   -2|   -2|   -2|    0|    0|    0|    0|    0|    0|   -2|   -2|    0|   -2|   -2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  Y10|   -2|    0|    0|    0|    0|    0|    0|   -2|    0|    0|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|   -2|    2|    2|   -2|   -2|   -2|   -2|    2|    2|   -2|    0|    2|    0|   -2|   -2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    0|   -2|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|    0|    0|    0|    2|    0|    0|    0|   -2|   -2|   -2|    0|    0|    0|    2|    2|    2|    2|    0|    0|    0|    0|    0|    0|    2|    2|    0|    2|    2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    0|   -2|    0|    0|    0|    2|    0|   -2|   -2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  Y11|    2|    0|    0|    0|    0|    0|    0|    2|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|   -2|   -2|    2|    2|    2|    2|   -2|   -2|    2|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    0|    0|    0|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|   -2|   -2|   -2|   -2|    0|    0|    0|    0|    0|    0|   -2|   -2|    0|   -2|   -2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  Y12|    0|    2|    2|   -2|   -2|   -2|   -2|    0|    2|    2|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    0|    2|    2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    2|    0|   -2|   -2|   -2|    0|    2|    0|    2|    2|    0|    0|   -2|   -2|   -2|    0|    2|    2|    2|    0|    0|    0|   -2|   -2|   -2|    0|    0|    0|    0|   -2|   -2|   -2|   -2|   -2|   -2|    0|    0|   -2|    0|    0|   -2|   -2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    2|    0|   -2|   -2|   -2|    0|    2|    0|    0|    0|    2|    2|   -2|   -2|   -2|    0|    2|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  Y13|    2|    0|    0|    0|    0|    0|    0|    2|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|   -2|   -2|    2|    2|    2|    2|   -2|   -2|    2|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    0|    0|    0|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|   -2|   -2|   -2|   -2|    0|    0|    0|    0|    0|    0|   -2|   -2|    0|   -2|   -2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    0|    0|    2|    0|    0|    0|   -2|    0|    2|    2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  Y14|    0|   -2|   -2|    2|    2|    2|    2|    0|   -2|   -2|    0|   -2|    0|    2|    2|    2|    2|    2|   -2|   -2|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|    0|   -2|   -2|    2|    2|    2|    0|   -2|    0|    0|   -2|   -2|    0|    2|    2|    2|    0|   -2|    0|   -2|   -2|    0|    0|    2|    2|    2|    0|   -2|   -2|   -2|    0|    0|    0|    2|    2|    2|    0|    0|    0|    0|    2|    2|    2|    2|    2|    2|    0|    0|    2|    0|    0|    2|    2|    2|    2|    2|    0|   -2|    0|    0|   -2|   -2|    0|    2|    2|    2|    0|   -2|    0|    0|    0|   -2|   -2|    2|    2|    2|    0|   -2|    0|    0|    0|    0|   -2|    0|    2|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  Y15|   -2|    0|    0|    0|    0|    0|    0|   -2|    0|    0|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|   -2|    2|    2|   -2|   -2|   -2|   -2|    2|    2|   -2|    0|    2|    0|   -2|   -2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    0|   -2|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|    0|    0|    0|    2|    0|    0|    0|   -2|   -2|   -2|    0|    0|    0|    2|    2|    2|    2|    0|    0|    0|    0|    0|    0|    2|    2|    0|    2|    2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    0|   -2|    0|    0|    0|    2|    0|   -2|   -2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  Y16|   -2|    0|    0|    0|    0|    0|    0|   -2|    0|    0|   -2|    0|    2|    0|    0|    0|    0|    0|    0|    0|   -2|    2|    2|   -2|   -2|   -2|   -2|    2|    2|   -2|    0|    2|    0|   -2|   -2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    0|   -2|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|    0|    0|    0|    2|    0|    0|    0|   -2|   -2|   -2|    0|    0|    0|    2|    2|    2|    2|    0|    0|    0|    0|    0|    0|    2|    2|    0|    2|    2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|    0|    0|   -2|    0|    0|    0|    2|    0|   -2|   -2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|   -2|   -2|   -2|    0|    2|    0|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|    0|    2|    0|   -2|   -2|   -2|   -2|   -2|    2|    2|
