=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
  A45|    1|    3|    1|   -5|   -5|   -5|   -3|   -1|    5|    5|    1|    1|   -3|   -5|   -5|   -5|   -3|   -3|    1|    5|   -1|   -3|   -1|    1|    1|    3|    3|   -1|   -1|    1|   -3|   -3|    1|    1|    1|    3|    5|    3|   -1|   -1|   -3|   -3|    1|    1|    3|    0|    3|    1|   -1|   -1|   -3|   -3|   -1|   -1|    3|    3|   -1|   -1|   -1|    1|   -3|   -3|   -1|    3|    3|   -1|   -1|   -1|    1|    1|   -3|   -3|   -1|    3|    3|   -1|   -1|   -1|    1|    1|   -3|   -3|    1|    1|    1|    1|   -1|   -1|    1|    1|   -3|   -3|    3|    3|    1|    3|    3|    1|    1|    1|   -3|   -1|    3|    1|    1|    1|    3|    3|   -1|   -1|   -3|   -1|    3|    1|    1|    1|    1|    1|   -1|   -1|    1|    1|   -1|   -3|   -3|   -3|   -3|   -3|   -1|    3|    1|    3|    1|   -3|   -3|   -3|   -3|   -3|    3|    3|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A46|    3|    5|    3|   -3|   -3|   -3|   -5|   -3|    3|    3|    3|    3|   -1|   -3|   -3|   -3|   -5|   -5|   -1|    3|    1|   -1|    1|    3|    3|    1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    3|    5|   -3|   -3|   -1|   -1|    3|    3|    1|    3|    0|    3|   -3|   -3|   -1|   -1|    1|    1|    1|    1|    1|    1|   -3|   -1|   -1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|   -1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|   -1|   -1|   -1|   -1|    3|    3|    1|    1|   -1|   -1|   -1|   -1|    1|    1|    3|    5|    5|    3|   -1|   -1|   -1|   -3|    1|    3|    3|    3|    5|    5|   -3|   -3|   -1|   -3|    1|    3|    3|    3|    3|    3|   -3|   -3|   -1|   -1|    1|   -1|   -1|   -1|   -1|   -1|   -3|    1|   -1|    1|    3|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A47|    5|    3|    1|   -1|   -1|   -1|   -3|   -1|    1|    1|    5|    1|   -3|   -1|   -1|   -1|   -3|   -3|   -3|    1|    3|   -3|   -1|    5|    5|    3|    3|   -1|   -5|    1|    1|   -3|    1|    5|    5|    3|    1|    3|   -1|   -1|    1|   -3|    1|    5|    3|    1|    3|    0|   -1|   -1|    1|   -3|   -1|    3|   -1|   -1|    3|    3|   -1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -3|    1|    1|    1|    3|    3|    1|    1|    1|   -3|   -1|    3|    5|    3|    3|    5|    1|    1|    1|   -5|   -1|    5|    5|    5|    3|    3|   -1|   -1|    1|   -5|   -1|    5|    5|    5|    5|    1|   -5|   -1|    1|   -3|   -1|    1|    1|    1|    1|    1|   -5|   -1|    1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A48|   -1|   -3|   -1|    1|    1|    1|    3|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|    1|    3|    3|   -1|   -1|    1|   -1|   -3|   -1|   -1|    1|    1|   -3|    1|    3|    3|   -1|   -5|   -1|   -1|    1|   -1|   -3|    5|    5|    3|   -1|   -5|   -1|    1|   -1|   -3|   -1|    0|    5|    3|   -1|   -3|    1|    1|    1|    1|    1|    5|    3|    3|   -1|   -3|    1|    1|    1|    1|    1|    3|    3|    3|   -1|   -3|    1|    1|    1|    1|    1|    3|    3|    3|   -1|   -1|    3|   -1|   -1|    1|    1|    3|    3|    3|   -1|   -3|    1|   -1|   -3|   -3|   -1|    3|    3|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    5|    5|    3|    1|   -3|   -1|   -1|   -1|   -1|   -5|    1|    5|    3|    3|   -3|   -1|   -1|   -1|   -1|   -1|    1|    1|    3|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A49|   -1|   -3|   -1|    1|    1|    1|    3|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|    1|    3|    3|   -1|   -1|    1|   -1|   -3|   -1|   -1|    1|    1|   -3|    1|    3|    3|   -1|   -5|   -1|   -1|    1|   -1|   -3|    5|    5|    3|   -1|   -5|   -1|    1|   -1|   -3|   -1|    5|    0|    3|   -1|   -3|    1|    1|    1|    1|    1|    5|    3|    3|   -1|   -3|    1|    1|    1|    1|    1|    3|    3|    3|   -1|   -3|    1|    1|    1|    1|    1|    3|    3|    3|   -1|   -1|    3|   -1|   -1|    1|    1|    3|    3|    3|   -1|   -3|    1|   -1|   -3|   -3|   -1|    3|    3|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    5|    5|    3|    1|   -3|   -1|   -1|   -1|   -1|   -5|    1|    5|    3|    3|   -3|   -1|   -1|   -1|   -1|   -1|    1|    1|    3|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A50|    1|   -1|    1|    3|    3|    3|    1|   -1|   -3|   -3|    1|    1|    1|    3|    3|    3|    1|    1|   -3|   -3|    3|    1|   -1|    1|    1|   -1|   -1|   -1|   -1|    1|    5|    1|   -3|    1|    1|   -1|   -3|   -1|    3|    3|    5|    1|   -3|    1|   -1|   -3|   -1|    1|    3|    3|    0|    1|   -1|    3|   -1|   -1|    3|    3|    3|    1|    5|    1|   -1|   -1|   -1|    3|    3|    3|    1|    1|    5|    1|   -1|   -1|   -1|    3|    3|    3|    1|    1|    5|    1|   -3|    1|    1|    1|    3|    3|    1|    1|    5|    1|   -5|   -1|    1|   -1|   -1|    1|    1|    1|    5|   -1|   -5|    1|    1|    1|   -1|   -1|    3|    3|    5|   -1|   -5|    1|    1|    1|    1|   -3|   -1|    3|    1|    1|   -1|    1|    1|    1|    1|    1|   -1|   -1|    1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A51|   -3|   -1|    1|    3|    3|    3|    1|   -1|   -3|   -3|   -3|    1|    5|    3|    3|    3|    1|    1|    1|   -3|   -1|    5|    3|   -3|   -3|   -5|   -5|    3|    3|   -3|    1|    5|    1|   -3|   -3|   -5|   -3|   -1|   -1|   -1|    1|    5|    1|   -3|   -5|   -3|   -1|   -3|   -1|   -1|    1|    0|    3|   -1|   -1|   -1|   -1|   -1|   -1|   -3|    1|    5|    3|   -1|   -1|   -1|   -1|   -1|   -3|   -3|    1|    5|    3|   -1|   -1|   -1|   -1|   -1|   -3|   -3|    1|    5|    1|   -3|    1|    1|   -1|   -1|   -3|   -3|    1|    5|   -1|   -5|   -3|   -1|   -1|   -3|   -3|   -3|    1|    3|   -1|   -3|   -3|   -3|   -1|   -1|   -1|   -1|    1|    3|   -1|   -3|   -3|   -3|   -3|    1|    3|   -1|   -3|    1|    3|    1|    1|    1|    1|    1|    3|   -1|   -3|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A52|   -1|    1|    3|    1|    1|    1|   -1|    1|   -1|   -1|   -1|    3|    3|    1|    1|    1|   -1|   -1|    3|   -1|    1|    3|    1|   -1|   -1|   -3|   -3|    1|    1|   -1|   -1|    3|    3|   -1|   -1|   -3|   -1|    1|   -3|   -3|   -1|    3|    3|   -1|   -3|   -1|    1|   -1|   -3|   -3|   -1|    3|    0|    1|    1|    1|    1|    1|   -3|   -5|   -1|    3|    5|    1|    1|    1|    1|    1|   -5|   -5|   -1|    3|    1|   -3|   -3|   -3|   -3|   -3|   -5|   -5|   -1|    3|   -1|   -5|   -1|   -1|   -3|   -3|   -5|   -5|   -1|    3|    1|   -3|   -1|    1|    1|   -1|   -5|   -5|   -1|    1|    1|   -1|   -1|   -1|    1|    1|   -3|   -3|   -1|    1|    1|   -1|   -1|   -1|   -1|    3|    1|   -3|   -5|   -1|    5|    3|    3|    3|    3|    3|    1|   -3|   -5|   -3|    3|    3|    3|    3|    3|    3|   -3|   -3|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A53|    3|    1|    3|    1|    1|    1|   -1|    1|   -1|   -1|    3|    3|   -1|    1|    1|    1|   -1|   -1|   -1|   -1|    5|   -1|   -3|    3|    3|    1|    1|   -3|   -3|    3|    3|   -1|   -1|    3|    3|    1|   -1|    1|    1|    1|    3|   -1|   -1|    3|    1|   -1|    1|    3|    1|    1|    3|   -1|    1|    0|    1|    1|    5|    5|    1|   -1|    3|   -1|    1|    1|    1|    5|    5|    5|   -1|   -1|    3|   -1|   -3|   -3|   -3|    1|    1|    1|   -1|   -1|    3|   -1|   -5|   -1|   -1|   -1|    1|    1|   -1|   -1|    3|   -1|   -3|    1|    3|    1|    1|    3|   -1|   -1|    3|   -3|   -3|    3|    3|    3|    1|    1|    1|    1|    3|   -3|   -3|    3|    3|    3|    3|   -1|   -3|    1|   -1|   -1|    1|    3|    3|    3|    3|    3|   -3|   -3|   -1|   -3|    3|    3|    3|    3|    3|    3|   -3|   -3|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A54|   -1|    1|    3|   -3|   -3|   -3|   -1|    1|    3|    3|   -1|    3|   -1|   -3|   -3|   -3|   -1|   -1|    3|    3|    1|   -1|   -3|   -1|   -1|    1|    1|   -3|    1|    3|   -1|   -1|   -1|   -1|   -1|    1|    3|    1|    1|    1|   -1|   -1|   -1|   -1|    1|    3|    1|   -1|    1|    1|   -1|   -1|    1|    1|    0|    5|    1|    1|    1|   -1|   -1|   -1|    1|    5|    5|    1|    1|    1|   -1|   -1|   -1|   -1|   -3|    1|    1|   -3|   -3|   -3|   -1|   -1|   -1|   -1|   -1|   -1|   -1|   -1|   -3|   -3|   -1|   -1|   -1|   -1|    1|    1|   -1|    1|    1|   -1|   -1|   -1|   -1|    1|    1|   -1|   -1|   -1|    1|    1|    1|    1|   -1|    1|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|   -1|    3|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|   -1|    1|    3|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A55|   -1|    1|    3|   -3|   -3|   -3|   -1|    1|    3|    3|   -1|    3|   -1|   -3|   -3|   -3|   -1|   -1|    3|    3|    1|   -1|   -3|   -1|   -1|    1|    1|   -3|    1|    3|   -1|   -1|   -1|   -1|   -1|    1|    3|    1|    1|    1|   -1|   -1|   -1|   -1|    1|    3|    1|   -1|    1|    1|   -1|   -1|    1|    1|    5|    0|    1|    1|    1|   -1|   -1|   -1|    1|    5|    5|    1|    1|    1|   -1|   -1|   -1|   -1|   -3|    1|    1|   -3|   -3|   -3|   -1|   -1|   -1|   -1|   -1|   -1|   -1|   -1|   -3|   -3|   -1|   -1|   -1|   -1|    1|    1|   -1|    1|    1|   -1|   -1|   -1|   -1|    1|    1|   -1|   -1|   -1|    1|    1|    1|    1|   -1|    1|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|   -1|    3|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|   -1|    1|    3|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A56|    3|    1|    3|    1|    1|    1|   -1|    1|   -1|   -1|    3|    3|   -1|    1|    1|    1|   -1|   -1|   -1|   -1|    5|   -1|   -3|    3|    3|    1|    1|   -3|   -3|    3|    3|   -1|   -1|    3|    3|    1|   -1|    1|    1|    1|    3|   -1|   -1|    3|    1|   -1|    1|    3|    1|    1|    3|   -1|    1|    5|    1|    1|    0|    5|    1|   -1|    3|   -1|    1|    1|    1|    5|    5|    5|   -1|   -1|    3|   -1|   -3|   -3|   -3|    1|    1|    1|   -1|   -1|    3|   -1|   -5|   -1|   -1|   -1|    1|    1|   -1|   -1|    3|   -1|   -3|    1|    3|    1|    1|    3|   -1|   -1|    3|   -3|   -3|    3|    3|    3|    1|    1|    1|    1|    3|   -3|   -3|    3|    3|    3|    3|   -1|   -3|    1|   -1|   -1|    1|    3|    3|    3|    3|    3|   -3|   -3|   -1|   -3|    3|    3|    3|    3|    3|    3|   -3|   -3|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A57|    3|    1|    3|    1|    1|    1|   -1|    1|   -1|   -1|    3|    3|   -1|    1|    1|    1|   -1|   -1|   -1|   -1|    5|   -1|   -3|    3|    3|    1|    1|   -3|   -3|    3|    3|   -1|   -1|    3|    3|    1|   -1|    1|    1|    1|    3|   -1|   -1|    3|    1|   -1|    1|    3|    1|    1|    3|   -1|    1|    5|    1|    1|    5|    0|    1|   -1|    3|   -1|    1|    1|    1|    5|    5|    5|   -1|   -1|    3|   -1|   -3|   -3|   -3|    1|    1|    1|   -1|   -1|    3|   -1|   -5|   -1|   -1|   -1|    1|    1|   -1|   -1|    3|   -1|   -3|    1|    3|    1|    1|    3|   -1|   -1|    3|   -3|   -3|    3|    3|    3|    1|    1|    1|    1|    3|   -3|   -3|    3|    3|    3|    3|   -1|   -3|    1|   -1|   -1|    1|    3|    3|    3|    3|    3|   -3|   -3|   -1|   -3|    3|    3|    3|    3|    3|    3|   -3|   -3|
